id;idAnalyse;distanceDebut;tpsDebut;tpsDebutCycles;nbCycles;tpsFinCycles;distanceFin;tpsFin
2078;294;75;42.54;42.54;11;55.27;95;55.27
2079;294;105;60.63;64.46;7;74.34;125;74.34
2080;294;125;74.34;74.34;10;88.52;145;88.52
2081;294;155;93.39;97.52;6;107.06;175;107.06
2082;294;175;107.06;107.06;9;120.82;195;120.82
2083;294;205;126.71;129.33;9;141.68;225;141.68
2084;294;225;141.68;141.68;10;156.59;245;156.59
2085;294;255;162.35;165.6;9;177.5;275;177.5
2086;294;275;177.5;177.5;10;192.18;295;192.18
2087;294;305;198.14;200.83;7;210.35;325;210.35
2088;294;325;210.35;210.35;9;222.8;345;222.8
2089;294;355;227.46;230.44;7;240.01;375;240.01
2090;294;375;240.01;240.01;9;252.22;395;252.22
2091;295;5;-1;5.73;1;6.61;15;6.61
2092;295;15;6.61;6.61;5;12.1;25;12.1
2093;295;25;12.1;12.1;10;24.09;45;24.09
2094;295;55;29.75;31.77;9;43.06;75;43.06
2095;295;75;43.06;43.06;10;55.69;95;55.69
2096;295;105;61.51;63.27;8;75.17;125;75.17
2097;295;125;75.17;75.17;9;89.35;145;89.35
2098;295;155;94.32;96.17;8;108.21;175;108.21
2099;295;175;108.21;108.21;8;121.69;195;121.69
2100;295;205;127.56;130.03;8;142.93;225;142.93
2101;295;225;142.93;142.93;9;158.39;245;158.39
2102;295;255;164.32;167.22;8;179.84;275;179.84
2103;295;275;179.84;179.84;9;194.84;295;194.84
2104;295;305;201.03;201.03;9;212.81;325;212.81
2105;295;325;212.81;212.81;9;225.19;345;225.19
2106;295;355;230.18;230.18;9;241.99;375;241.99
2107;295;375;241.99;241.99;9;253.79;395;253.79
2108;296;5;-1;5.97;1;6.68;15;6.68
2109;296;15;6.68;6.68;5;12.36;25;12.36
2110;296;25;12.36;12.36;10;24.69;45;24.69
2111;296;55;29.98;31.96;9;43.36;75;43.36
2112;296;75;43.36;43.36;10;56.15;95;56.15
2113;296;105;62;63.79;8;75.69;125;75.69
2114;296;125;75.69;75.69;9;89.51;145;89.51
2115;296;155;94.69;96.68;7;108.69;175;108.69
2116;296;175;108.69;108.69;8;122.48;195;122.48
2117;296;205;128.52;131.2;7;143.75;225;143.75
2118;296;225;143.75;143.75;9;158.97;245;158.97
2119;296;255;165.08;167.92;8;180.66;275;180.66
2120;296;275;180.66;180.66;9;195.72;295;195.72
2121;296;305;202.13;202.13;8;214.03;325;214.03
2122;296;325;214.03;214.03;9;226.27;345;226.27
2123;296;355;231.41;231.41;9;243.49;375;243.49
2124;296;375;243.49;243.49;9;255.21;395;255.21
2125;297;5;-1;6.07;0;6.38;15;6.38
2126;297;15;6.38;6.38;5;12.03;25;12.03
2127;297;25;12.03;12.03;10;24.2;45;24.2
2128;297;55;29.69;33.63;7;42.9;75;42.9
2129;297;75;42.9;42.9;10;55.84;95;55.84
2130;297;105;61.25;64.8;7;75.04;125;75.04
2131;297;125;75.04;75.04;9;89.13;145;89.13
2132;297;155;94.13;97.92;7;108.41;175;108.41
2133;297;175;108.41;108.41;9;122.24;195;122.24
2134;297;205;128.2;131.01;7;143.86;225;143.86
2135;297;225;143.86;143.86;9;159.12;245;159.12
2136;297;255;165.14;168.58;7;180.26;275;180.26
2137;297;275;180.26;180.26;9;195.06;295;195.06
2138;297;305;201.03;204.12;6;214.15;325;214.15
2139;297;325;214.15;214.15;8;227.67;345;227.67
2140;297;355;232.61;235.49;6;246.37;375;246.37
2141;297;375;246.37;246.37;7;259.44;395;259.44
2142;298;5;-1;5.38;1;6.53;15;6.53
2143;298;15;6.53;6.53;4;11.88;25;11.88
2144;298;25;11.88;11.88;9;23.62;45;23.62
2145;298;55;28.32;29.71;4;34.6;65;34.6
2146;298;65;34.6;34.6;5;40.66;75;40.66
2147;298;75;40.66;40.66;9;52.67;95;52.67
2148;298;105;57.89;58.88;4;64.29;115;64.29
2149;298;115;64.29;64.29;5;70.24;125;70.24
2150;298;125;70.24;70.24;10;83;145;83
2151;298;155;88.17;89.06;4;94.54;165;94.54
2152;298;165;94.54;94.54;5;100.98;175;100.98
2153;298;175;100.98;100.98;10;113.84;195;113.84
2154;299;5;-1;4.04;2;6.44;15;6.44
2155;299;15;6.44;6.44;4;11.9;25;11.9
2156;299;25;11.9;11.9;7;23.64;45;23.64
2157;299;55;28.21;29.73;7;40.3;75;40.3
2158;299;75;40.3;40.3;7;52.44;95;52.44
2159;299;105;56.99;58.52;7;69.05;125;69.05
2160;299;125;69.05;69.05;8;81.06;145;81.06
2161;299;155;85.71;87.21;7;97.97;175;97.97
2162;299;175;97.97;97.97;8;110.14;195;110.14
2163;299;205;114.92;116.03;7;126.84;225;126.84
2164;299;225;126.84;126.84;8;139.14;245;139.14
2165;299;255;143.89;145.16;7;156.24;275;156.24
2166;299;275;156.24;156.24;8;168.58;295;168.58
2167;299;305;173.35;174.43;7;185.2;325;185.2
2168;299;325;185.2;185.2;8;197.36;345;197.36
2169;299;355;202.07;203.46;8;214.2;375;214.2
2170;299;375;214.2;214.2;9;226.3;395;226.3
2171;300;5;-1;4.61;1;6.38;15;6.38
2172;300;15;6.38;6.38;4;11.73;25;11.73
2173;300;25;11.73;11.73;8;23.52;45;23.52
2174;300;55;27.88;29.45;7;39.97;75;39.97
2175;300;75;39.97;39.97;7;51.81;95;51.81
2176;300;105;56.54;57.79;7;68.25;125;68.25
2177;300;125;68.25;68.25;8;80.41;145;80.41
2178;300;155;84.86;86.24;7;96.95;175;96.95
2179;300;175;96.95;96.95;8;108.87;195;108.87
2180;300;205;113.58;114.94;7;125.57;225;125.57
2181;300;225;125.57;125.57;8;138.07;245;138.07
2182;300;255;142.63;144.02;7;155.11;275;155.11
2183;300;275;155.11;155.11;8;167.41;295;167.41
2184;300;305;172.13;173.59;7;184.03;325;184.03
2185;300;325;184.03;184.03;8;196.45;345;196.45
2186;300;355;201.17;202.84;8;213.47;375;213.47
2187;300;375;213.47;213.47;9;225.59;395;225.59
2188;301;5;-1;5.54;1;6.27;15;6.27
2189;301;15;6.27;6.27;5;12.05;25;12.05
2190;301;25;12.05;12.05;10;24.17;45;24.17
2191;301;55;29.53;32.18;3;35.73;65;35.73
2192;301;65;35.73;35.73;5;42.23;75;42.23
2193;301;75;42.23;42.23;10;55.6;95;55.6
2194;301;105;60.95;63;4;67.37;115;67.37
2195;301;115;67.37;67.37;5;73.45;125;73.45
2196;301;125;73.45;73.45;11;86.7;145;86.7
2197;301;155;92.27;94.65;4;98.9;165;98.9
2198;301;165;98.9;98.9;5;105.35;175;105.35
2199;301;175;105.35;105.35;11;119.05;195;119.05
2200;302;5;-1;-1;-1;-1;15;-1
2201;302;15;-1;-1;-1;-1;25;-1
2202;302;25;-1;-1;-1;-1;45;-1
2203;302;55;-1;-1;-1;-1;65;-1
2204;302;65;-1;-1;-1;-1;75;-1
2205;302;75;-1;-1;-1;-1;95;-1
2206;302;105;-1;-1;-1;-1;115;-1
2207;302;115;-1;-1;-1;-1;125;-1
2208;302;125;-1;-1;-1;-1;145;-1
2209;302;155;-1;-1;-1;-1;165;-1
2210;302;165;-1;-1;-1;-1;175;-1
2211;302;175;-1;-1;-1;-1;195;-1
2212;303;5;-1;-1;-1;-1;15;-1
2213;303;15;-1;-1;-1;-1;25;-1
2214;303;25;-1;-1;-1;-1;45;-1
2215;303;55;-1;-1;-1;-1;65;-1
2216;303;65;-1;-1;-1;-1;75;-1
2217;303;75;-1;-1;-1;-1;95;-1
2218;303;105;-1;-1;-1;-1;115;-1
2219;303;115;-1;-1;-1;-1;125;-1
2220;303;125;-1;-1;-1;-1;145;-1
2221;303;155;-1;-1;-1;-1;165;-1
2222;303;165;-1;-1;-1;-1;175;-1
2223;303;175;-1;-1;-1;-1;195;-1
2224;304;5;-1;5.83;0;6.34;15;6.34
2225;304;15;6.34;6.34;5;11.7;25;11.7
2226;304;25;11.7;11.7;10;23.42;45;23.42
2227;304;55;28.67;32.93;2;34.93;65;34.93
2228;304;65;34.93;34.93;5;40.98;75;40.98
2229;304;75;40.98;40.98;10;53.02;95;53.02
2230;304;105;58.37;61.48;3;64.66;115;64.66
2231;304;115;64.66;64.66;5;70.4;125;70.4
2232;304;125;70.4;70.4;11;82.86;145;82.86
2233;304;155;88.17;91.26;3;94.48;165;94.48
2234;304;165;94.48;94.48;6;100.86;175;100.86
