id,idAnalyse,distanceDebut,tpsDebut,tpsDebutCycles,nbCycles,tpsFinCycles,distanceFin,tpsFin,TRIAL311
975,112,55.0,27.55,31.35,2,33.42,65.0,33.42,T
976,112,65.0,33.42,33.42,5,39.05,75.0,39.05,T
977,112,75.0,39.05,39.05,10,50.63,95.0,50.63,T
978,113,5.0,-1.0,5.26,1,6.32,15.0,6.32,T
979,113,15.0,6.32,6.32,5,12.3,25.0,12.3,T
980,113,25.0,12.3,12.3,11,24.68,45.0,24.68,T
981,113,55.0,30.09,33.7,3,36.98,65.0,36.98,T
982,113,65.0,36.98,36.98,6,43.4,75.0,43.4,T
983,113,75.0,43.4,43.4,13,57.04,95.0,57.04,T
984,114,5.0,-1.0,-1.0,-1,-1.0,15.0,5.17,T
985,114,15.0,5.17,5.63,4,10.51,25.0,10.51,T
986,114,25.0,10.51,10.51,9,21.01,45.0,21.01,T
987,114,55.0,25.74,30.53,1,31.41,65.0,31.41,T
988,114,65.0,31.41,31.41,5,36.95,75.0,36.95,T
989,114,75.0,36.95,36.95,10,48.52,95.0,48.52,T
990,115,5.0,-1.0,4.06,1,5.19,15.0,5.19,T
991,115,15.0,5.19,5.19,4,10.11,25.0,10.11,T
992,115,25.0,10.11,10.11,9,20.41,45.0,20.41,T
993,115,55.0,24.53,27.0,3,29.93,65.0,29.93,T
