h;idAnalyse;distanceDebut;tpsFinCoulee;tpsFinPremierMvt;nbCycles;tpsFinDernierMvt;distanceFin;tpsPassage
329;107;50;29.47;-1;0;54.68;100;54.74
330;108;0;4.57;-1;0;25.81;50;26.93
331;108;50;30.12;-1;0;55.2;100;56.29
332;108;100;59.29;-1;0;84.28;150;85.35
333;108;150;88.11;-1;0;113.18;200;114.68
334;108;200;117.67;-1;0;142.5;250;143.87
335;108;250;146.8;-1;0;172.3;300;173.58
336;108;300;176.32;-1;0;201.64;350;202.77
337;108;350;205.51;-1;0;231.24;400;232.51
338;108;400;235.48;-1;0;260.87;450;262.11
339;108;450;264.98;-1;0;290.8;500;292.08
340;108;500;294.76;-1;0;320.76;550;321.96
341;108;550;324.89;-1;0;351.32;600;352.52
342;108;600;355.32;-1;0;381.1;650;382.63
343;108;650;385.1;-1;0;412.58;700;413.94
344;108;700;416.98;-1;0;442.63;750;443.95
345;108;750;447.04;-1;0;472.42;800;472.85
346;109;0;-1;-1;0;-1;50;21.81
347;110;0;-1;-1;0;-1;50;25.46
348;111;0;-1;-1;0;-1;50;22.02
349;112;0;6.47;-1;0;24.99;50;26.08
350;112;50;31.35;-1;0;53.09;100;53.22
351;113;0;5.26;-1;0;27.29;50;27.79
352;113;50;33.7;-1;0;59.64;100;60.6
353;114;0;5.63;-1;0;22.92;50;23.68
354;114;50;30.53;-1;0;51.45;100;51.46
355;115;0;-1;-1;0;-1;50;23.18
356;115;50;-1;-1;0;-1;100;47.82
357;116;0;6.13;-1;0;24.69;50;24.89
358;117;0;6.1;-1;0;24.65;50;24.72
359;118;0;5.65;-1;0;24.11;50;24.42
360;119;0;5.95;-1;0;23.52;50;23.8
362;121;0;5.73;-1;0;24.12;50;24.47
363;122;0;5.83;-1;0;24.43;50;24.92
364;123;0;6.42;-1;0;24.86;50;24.92
365;124;0;5.31;-1;0;24.21;50;24.51
366;125;0;-1;-1;0;-1;50;24.32
367;126;0;4.06;-1;0;23.81;50;24.17
368;127;0;5.21;-1;0;23.96;50;24.17
369;128;0;5.06;-1;0;23.9;50;23.97
370;129;0;-1;-1;0;-1;50;24.29
371;130;0;5.5;-1;0;24.24;50;24.65
372;131;0;4.87;-1;0;24.64;50;24.67
373;132;0;5.64;-1;0;24.08;50;24.59
374;133;0;5.93;-1;0;25.21;50;25.65
375;134;0;6.51;-1;0;25.73;50;25.76
376;135;0;-1;-1;0;-1;50;25.3
377;136;0;6.32;-1;0;25.57;50;25.59
378;137;0;5.95;-1;0;25.69;50;25.87
379;138;0;6.51;-1;0;25.73;50;25.85
380;139;0;6.29;-1;0;25.71;50;25.84
381;140;0;5.12;-1;0;26.77;50;27.13
382;141;0;5.99;-1;0;27.13;50;27.54
383;142;0;5.61;-1;0;26.16;50;26.68
384;143;0;5.83;-1;0;25.99;50;26.21
385;144;0;5.83;-1;0;26.11;50;26.55
386;145;0;5.87;-1;0;26.78;50;27.1
387;146;0;6.08;-1;0;26.67;50;27.13
388;147;0;6;-1;0;26.48;50;27.3
389;148;0;5.44;-1;0;30.03;50;30.72
390;149;0;5.65;-1;0;30.15;50;30.35
391;150;0;5.77;-1;0;30.05;50;30.23
392;151;0;5.79;-1;0;28.91;50;29.35
393;152;0;5.82;-1;0;29.73;50;30.22
394;153;0;5.05;-1;0;29.32;50;30.19
395;154;0;6.18;-1;0;29.37;50;30.31
396;155;0;6.29;-1;0;29.81;50;30.77
397;156;0;5.5;-1;0;22.91;50;23.54
399;158;0;5.06;-1;0;23.52;50;23.56
400;159;0;4.89;-1;0;23.17;50;23.18
401;160;0;4.23;-1;0;22.76;50;23.01
402;161;0;5.17;-1;0;22.57;50;23.08
403;162;0;5.23;-1;0;22.83;50;23
404;163;0;4.99;-1;0;22.93;50;23.14
405;164;0;5.08;-1;0;22.82;50;23.09
406;165;0;7.13;-1;0;27.41;50;27.85
407;166;0;7.18;-1;0;27.25;50;27.9
408;167;0;6.91;-1;0;27.31;50;27.46
409;168;0;6.31;-1;0;26.85;50;27.36
410;169;0;6.64;-1;0;27.38;50;27.74
411;170;0;7.1;-1;0;27.54;50;28.16
412;171;0;7.01;-1;0;27.83;50;28.01
413;172;0;3.69;-1;0;21.87;50;21.92
414;173;0;4.9;-1;0;21.4;50;21.69
415;174;0;2.65;-1;0;21.32;50;21.61
416;175;0;3.75;-1;0;21.58;50;21.73
417;176;0;4.14;-1;0;21.68;50;21.8
418;177;0;4.17;-1;0;21.98;50;22.19
419;178;0;6.32;-1;0;26.24;50;26.74
420;178;50;33.23;-1;0;57.83;100;58.1
423;180;0;5.38;-1;0;26.03;50;26.88
424;180;50;31.15;-1;0;57.11;100;57.65
425;181;0;5.57;-1;0;26.49;50;26.59
426;181;50;33.12;-1;0;57.52;100;57.56
427;182;0;6;-1;0;26.79;50;26.89
428;182;50;32.15;-1;0;56.51;100;57.37
429;183;0;6.53;-1;0;26.11;50;26.94
430;183;50;34.5;-1;0;57.93;100;58.05
431;184;0;6.63;-1;0;26.91;50;27.09
432;184;50;34.04;-1;0;57.93;100;58.41
433;185;0;6.31;-1;0;26.28;50;26.54
434;185;50;31.45;-1;0;57.58;100;58.21
435;186;0;5.19;-1;0;24.1;50;25.83
436;186;50;28.72;-1;0;53.41;100;53.56
437;187;0;5.07;-1;0;25.12;50;26.14
438;187;50;29.97;-1;0;53.52;100;53.69
439;188;0;-1;-1;0;-1;50;25.75
440;188;50;-1;-1;0;-1;100;53.44
441;189;0;-1;-1;0;-1;50;25.67
442;189;50;-1;-1;0;-1;100;53.05
443;190;0;4.93;-1;0;24.79;50;25.72
444;190;50;29.3;-1;0;53.17;100;53.74
445;191;0;5.71;-1;0;24.43;50;25.56
446;191;50;29.97;-1;0;53.29;100;53.43
447;192;0;5.7;-1;0;24.46;50;25.89
448;192;50;29.22;-1;0;53.82;100;54.15
449;193;0;4.95;-1;0;22.08;50;23.05
450;193;50;26.57;-1;0;48.05;100;48.08
451;194;0;5.09;-1;0;21.63;50;22.5
452;194;50;26.85;-1;0;47.21;100;47.37
453;195;0;4.29;-1;0;21.72;50;22.7
454;195;50;25.44;-1;0;47.24;100;47.45
455;196;0;4.76;-1;0;21.86;50;22.83
456;196;50;27.32;-1;0;47.34;100;47.74
457;197;0;4.33;-1;0;22.38;50;23.41
458;197;50;26.36;-1;0;47.63;100;47.84
459;198;0;5.09;-1;0;22.64;50;23.55
460;198;50;27.55;-1;0;48.35;100;48.47
461;199;0;5.05;-1;0;22.14;50;23.13
462;199;50;26.49;-1;0;48.24;100;48.3
463;200;0;5.62;-1;0;23.62;50;23.65
464;200;50;30.88;-1;0;51.26;100;51.43
465;201;0;5.77;-1;0;24.13;50;24.21
466;201;50;31.21;-1;0;51.31;100;51.45
467;202;0;5.54;-1;0;23.58;50;23.88
468;202;50;30.15;-1;0;50.82;100;50.93
469;203;0;5.47;-1;0;23.15;50;23.58
470;203;50;30.89;-1;0;49.85;100;50.18
471;204;0;5.96;-1;0;23.36;50;23.8
472;204;50;31.36;-1;0;50.68;100;50.99
