idNageur;Prénom;Nom;Sexe;DateDeNaissance;Nationalite;Club;idCourse;idCompetition;LongeurBassin;DistanceCourse;StyleDeNage;Round;Date;TempsDebutCourse;TempsFinalCourse;idAnalyse
231;Ari-Pekka;LIUKKONEN;m;19890209;FIN;b'';58;1;50;1;4;3;20210523;11.55;21.61;174
232;Kristian;GKOLOMEEV;m;19930704;GRE;b'';58;1;50;1;4;3;20210523;16.96;21.73;175
233;Thom;DE BOER;m;19911224;NED;b'';58;1;50;1;4;3;20210523;15.93;21.8;176
218;Alessandro;MIRESSI;m;19981002;ITA;b'';58;1;50;1;4;3;20210523;17.19;22.19;177
234;Anastasiya;SHKURDAI;f;20030103;BLR;b'';16;1;50;2;1;3;20210518;25.48;58.1;178
235;Svetlana;CHIMROVA;f;19960415;RUS;b'';16;1;50;2;1;3;20210518;5.86;57.65;180
236;Louise;HANSSON;f;19961124;SWE;b'';16;1;50;2;1;3;20210518;11.26;57.56;181
201;Anna;NTOUNTOUNAKI;f;19950909;GRE;b'';16;1;50;2;1;3;20210518;9.48;57.37;182
237;Elena;DI LIDDO;f;19930908;ITA;b'';16;1;50;2;1;3;20210518;13.64;58.05;183
238;Ilaria;BIANCHI;f;19900106;ITA;b'';16;1;50;2;1;3;20210518;5.52;58.41;184
204;Arina;SURKOVA;f;19980717;RUS;b'';16;1;50;2;1;3;20210518;4.98;58.21;185
215;Freya;ANDERSON;f;20010304;GBR;b'';50;1;50;2;4;3;20210522;29.11;53.56;186
216;Signe;BRO;f;19990305;DEN;b'';50;1;50;2;4;3;20210522;5.89;53.69;187
43;Ranomi;KROMOWIDJOJO;f;19900820;NED;b'';50;1;50;2;4;3;20210522;8.87;53.44;188
2291767;Femke;HEEMSKERK;f;19870921;NED;b'';50;1;50;2;4;3;20210522;3.19;53.05;189
50;Barbora;SEEMANOVA;f;20000401;CZE;b'';50;1;50;2;4;3;20210522;14.56;53.74;190
48;Anna;HOPKIN;f;19960424;GBR;b'';50;1;50;2;4;3;20210522;14.46;53.43;191
49;Michelle;COLEMAN;f;19931031;SWE;b'';50;1;50;2;4;3;20210522;4.37;54.15;192
217;David;POPOVICI;m;20040915;ROU;b'';23;1;50;2;4;3;20210519;7.05;48.08;193
35;Kliment;KOLESNIKOV;m;20000709;RUS;b'';23;1;50;2;4;3;20210519;9.1;47.37;194
218;Alessandro;MIRESSI;m;19981002;ITA;b'';23;1;50;2;4;3;20210519;15.23;47.45;195
209;Andrei;MINAKOV;m;20020317;RUS;b'';23;1;50;2;4;3;20210519;9.25;47.74;196
219;Nandor;NEMETH;m;19991119;HUN;b'';23;1;50;2;4;3;20210519;14.24;47.84;197
220;Roman;MITYUKOV;m;20000730;SUI;b'';23;1;50;2;4;3;20210519;15.56;48.47;198
221;Thomas;DEAN;m;20000502;GBR;b'';23;1;50;2;4;3;20210519;8.39;48.3;199
239;Mikhail;VEKOVISCHCHEV;m;19980805;RUS;b'';68;1;50;2;1;3;20210529;18.83;51.43;200
240;Noe;PONTI;m;20010601;SUI;b'';68;1;50;2;1;3;20210529;15.8;51.45;201
241;Josif;MILADINOV;m;20030623;BUL;b'';68;1;50;2;1;3;20210529;9.29;50.93;202
242;Kristof;MILAK;m;20000220;HUN;b'';68;1;50;2;1;3;20210529;15.52;50.18;203
243;James;GUY;m;19951126;GBR;b'';68;1;50;2;1;3;20210529;7.21;50.99;204
244;Jakub;MAJERSKI;m;20000818;POL;b'';68;1;50;2;1;3;20210529;17.37;51.11;205
212;Szebasztian;SZABO;m;19960311;HUN;b'';68;1;50;2;1;3;20210529;17.94;51.86;206
245;Federico;BURDISSO;m;20010920;ITA;b'';68;1;50;2;1;3;20210529;9.67;51.39;207
208;Thomas;CECCON;m;20010127;ITA;b'';31;1;50;2;2;3;20210520;15.67;53.02;208
37;Hugo;GONZALEZ DE OLIVEIRA;m;19990219;ESP;b'';31;1;50;2;2;3;20210520;13.83;52.9;209
36;Robert-Andrei;GLINTA;m;19970418;ROU;b'';31;1;50;2;2;3;20210520;10.09;52.88;210
38;Apostolos;CHRISTOU;m;19961101;GRE;b'';31;1;50;2;2;3;20210520;14.74;52.97;211
246;Evgeny;RYLOV;m;19960923;RUS;b'';31;1;50;2;2;3;20210520;16.89;53.51;212
247;Luke;GREENBANK;m;19970917;GBR;b'';31;1;50;2;2;3;20210520;6.74;53.34;213
248;Berkay Oemer;OEGRETIR;m;19980216;TUR;b'';67;1;50;2;3;3;20210518;17.37;59.52;214
194;Alessandro;PINZUTTI;m;19990510;ITA;b'';67;1;50;2;3;3;20210518;12.59;59.5;215
199;Arno;KAMMINGA;m;19951022;NED;b'';67;1;50;2;3;3;20210518;4.68;58.1;216
196;Adam;PEATY;m;19941228;GBR;b'';67;1;50;2;3;3;20210518;12.48;57.66;217
195;Nicolo;MARTINENGHI;m;19990801;ITA;b'';67;1;50;2;3;3;20210518;12.19;58.94;218
249;James;WILBY;m;19931112;GBR;b'';67;1;50;2;3;3;20210518;12.49;58.58;219
197;Ilya;SHYMANOVICH;m;19940802;BLR;b'';67;1;50;2;3;3;20210518;13.33;58.75;220
250;Andrius;SIDLAUSKAS;m;19970605;LTU;b'';67;1;50;2;3;3;20210518;3.26;59.31;221
251;Louis;CROENEN;m;19940103;BEL;b'';73;1;50;3;1;3;20210519;18.06;115.69;222
240;Noe;PONTI;m;20010601;SUI;b'';73;1;50;3;1;3;20210519;14.65;115.18;223
245;Federico;BURDISSO;m;20010920;ITA;b'';73;1;50;3;1;3;20210519;5.47;114.28;224
252;Tamas;KENDERESI;m;19961213;HUN;b'';73;1;50;3;1;3;20210519;13.93;114.43;225
242;Kristof;MILAK;m;20000220;HUN;b'';73;1;50;3;1;3;20210519;16.01;111.1;226
253;Antani;IVANOV;m;19990717;BUL;b'';73;1;50;3;1;3;20210519;16.53;114.5;227
254;Giacomo;CARINI;m;19970702;ITA;b'';73;1;50;3;1;3;20210519;16.41;116.69;228
255;Alexander;KUDASHEV;m;19951205;RUS;b'';73;1;50;3;1;3;20210519;5.35;116.33;229
