id;nom;prenom;anneeDeNaissance;sexe;nationalite;club;status
279;LITCHFIELD;Max;19950304;m;GBR;;
280;VAZAIOS;Andreas;19940509;m;GRE;;
281;MATTEAZZI;Pier Andrea;19971205;m;ITA;;
282;VERRASZTO;David;19880822;m;HUN;;
283;BERNEK;Peter;19920413;m;HUN;;
284;PONS RAMON;Joan Lluis;19961209;m;ESP;;
285;BORODIN;Ilya;20030214;m;RUS;;
286;STUPIN;Maxim;20000511;m;RUS;;
287;WOOD;Abbie;19990302;f;GBR;;
288;CUSINATO;Ilaria;19991005;f;ITA;;
289;GORBENKO;Anastasia;20030807;f;ISR;;
290;HOSSZU;Katinka;19890503;f;HUN;;
291;UGOLKOVA;Maria;19890718;f;SUI;;
292;FRANCESCHI;Sara;19990201;f;ITA;;
293;SEBESTYEN;Dalma;19970123;f;HUN;;
294;VOGELMANN;Zoe;20030921;f;GER;;
295;CREVAR;Anja;20000524;f;SRB;;
296;WILLMOTT;Aimee;19930226;f;GBR;;
297;MIHALYVARI-FARKAS;Viktoria;20031126;f;HUN;;
298;CORRO LORENTE;Catalina;19950414;f;ESP;;
299;DRESSEL;Caeleb;19960816;m;USA;;
300;MOROZOV;Vladimir;19920616;m;RUS;;
301;FRATUS;Bruno;19890630;m;BRA;;
302;ANDREW;Michael;19990418;m;USA;;
303;HEIDTMANN;Jacob;19941106;m;GER;;
304;SETO;Daiya;19940524;m;JAP;;
305;LITHERLAND;Jay;19950824;m;USA;;
306;WANG;Shun;19940211;m;CHN;;
307;IKARI;Yuki;20000821;m;JAP;;
308;CLAREBURT;Lewis;19990704;m;NZL;;
309;KALISZ;Chase;19940307;m;USA;;
310;PAPASTAMOS;Apostolos;20010320;m;GRE;;
311;JONES;Harriet;19970527;f;GBR;;
312;ZHANG;Yufei;19980419;f;CHN;;
313;MCKEON;Emma;19940524;f;AUS;;
314;THROSSEL;Brianna;19960210;f;AUS;;
315;OSMAN;Farida;19950118;f;EGY;;
316;HUSKE;Torri;20021207;f;USA;;
317;SJOESTROEM;Sarah;19930817;f;SWE;;
318;SAVARD;Katerine;19930526;f;CAN;;
319;MACNEIL;Margaret;20000226;f;CAN;;
320;CURZAN;Claire;20040630;f;USA;;
321;PUDAR;Lana;20060119;f;BIH;;
322;GALLAGHER;Erin;19981218;f;RSA;;
323;BELMONTE;Mireia;19901110;f;ESP;;
324;WEYANT;Emma;20011224;f;USA;;
325;LESAFFRE;Fantine;19941110;f;FRA;;
326;TANIGAWA;Ageha;20030615;f;JPN;;
327;YU;Yiting;20050905;f;CHN;;
328;CIEPLUCHA;Tessa;19980924;f;CAN;;
