id;idAnalyse;distanceDebut;tpsFinCoulee;tpsFinPremierMvt;nbCycles;tpsFinDernierMvt;distanceFin;tpsPassage
2109;780;0;5;-1;0;29.94;50;30.46
2110;780;50;34.46;-1;0;64.12;100;64.91
2111;780;100;68.48;-1;0;100.82;150;101.45
2112;780;150;104.7;-1;0;136.69;200;137.75
2113;781;0;4.6;-1;0;30.87;50;31.21
2114;781;50;34.96;-1;0;66.05;100;66.66
2115;781;100;70.35;-1;0;103.29;150;104.09
2116;781;150;108.02;-1;0;140.29;200;140.98
2117;728;0;6.41;-1;0;29.62;50;30.43
2118;728;50;37.31;-1;0;63.82;100;64.58
2119;728;100;70.86;-1;0;97.75;150;98.67
2120;728;150;104.56;-1;0;130.86;200;131.95
2121;727;0;-1;-1;0;-1;50;29.95
2122;727;50;-1;-1;0;-1;100;63.36
2123;727;100;-1;-1;0;-1;150;97.46
2124;727;150;-1;-1;0;-1;200;131.72
2125;729;0;-1;-1;0;-1;50;29.69
2126;729;50;-1;-1;0;-1;100;63.06
2127;729;100;-1;-1;0;-1;150;97.89
2128;729;150;-1;-1;0;-1;200;133.99
2129;730;0;-1;-1;0;-1;50;28.67
2130;730;50;-1;-1;0;-1;100;61.05
2131;730;100;-1;-1;0;-1;150;94.32
2132;730;150;-1;-1;0;-1;200;128.08
2133;731;0;-1;-1;0;-1;50;29.48
2134;731;50;-1;-1;0;-1;100;63.34
2135;731;100;-1;-1;0;-1;150;97.62
2136;731;150;-1;-1;0;-1;200;131.43
2137;732;0;-1;-1;0;-1;50;30.24
2138;732;50;-1;-1;0;-1;100;64.51
2139;732;100;-1;-1;0;-1;150;99.37
2140;732;150;-1;-1;0;-1;200;133.08
2141;733;0;6.37;-1;0;29.7;50;30.37
2142;733;50;36.17;-1;0;63.45;100;64.44
2143;733;100;70.02;-1;0;98.24;150;99.47
2144;733;150;104.74;-1;0;133.71;200;134.88
2145;734;0;-1;-1;0;-1;50;29.83
2146;734;50;-1;-1;0;-1;100;63.59
2147;734;100;-1;-1;0;-1;150;98.46
2148;734;150;-1;-1;0;-1;200;133.83
2149;723;0;-1;-1;0;-1;50;33.37
2150;723;50;-1;-1;0;-1;100;70.88
2151;723;100;-1;-1;0;-1;150;108.62
2152;723;150;-1;-1;0;-1;200;146.93
2153;724;0;-1;-1;0;-1;50;33.33
2154;724;50;-1;-1;0;-1;100;70.74
2155;724;100;-1;-1;0;-1;150;109.16
2156;724;150;-1;-1;0;-1;200;148.45
2157;725;0;6.98;-1;0;32.38;50;33.37
2158;725;50;39.93;-1;0;70.17;100;70.98
2159;725;100;77.58;-1;0;108.49;150;109.37
2160;725;150;116.08;-1;0;147.49;200;148.42
2161;726;0;6.22;-1;0;33.25;50;34.08
2162;726;50;39.65;-1;0;69.96;100;71.59
2163;726;100;77.04;-1;0;107.71;150;109.92
2164;726;150;115.27;-1;0;146.57;200;148.18
2165;719;0;6.46;-1;0;33.21;50;34.15
2166;719;50;40.1;-1;0;70.78;100;71.66
2167;719;100;77.74;-1;0;108.71;150;109.8
2168;719;150;115.71;-1;0;147.81;200;148.58
2169;720;0;-1;-1;0;-1;50;33.01
2170;720;50;-1;-1;0;-1;100;71.04
2171;720;100;-1;-1;0;-1;150;109.76
2172;720;150;-1;-1;0;-1;200;149.19
2173;721;0;-1;-1;0;-1;50;33.23
2174;721;50;-1;-1;0;-1;100;70.27
2175;721;100;-1;-1;0;-1;150;108.03
2176;721;150;-1;-1;0;-1;200;145.88
2177;722;0;-1;-1;0;-1;50;34.48
2178;722;50;-1;-1;0;-1;100;72.44
2179;722;100;-1;-1;0;-1;150;111.55
2180;722;150;-1;-1;0;-1;200;151.48
2181;782;0;-1;-1;0;-1;50;23.29
2182;782;50;-1;-1;0;-1;100;48.77
2183;783;0;-1;-1;0;-1;50;23.55
2184;783;50;-1;-1;0;-1;100;48.92
2185;787;0;6.23;-1;0;28.22;50;28.29
2186;787;50;34.13;-1;0;60.36;100;60.48
2187;795;0;4.1;-1;0;25.26;50;25.33
2188;796;0;5.37;-1;0;24.61;50;25.23
2189;797;0;4.92;-1;0;24.29;50;24.72
2190;798;0;5.21;-1;0;23.82;50;24.28
2191;799;0;6.17;-1;0;24.41;50;24.73
2192;800;0;6.06;-1;0;24.38;50;24.93
2193;801;0;5.37;-1;0;25.22;50;25.4
2194;802;0;4.6;-1;0;25.51;50;25.75
2195;803;0;6.23;-1;0;25.03;50;25.57
2196;804;0;6.46;-1;0;25.12;50;25.51
2197;805;0;6.44;-1;0;24.96;50;25.66
2198;806;0;5.87;-1;0;24.69;50;25.21
2199;807;0;6.05;-1;0;24.62;50;25.04
2200;808;0;6.46;-1;0;25.22;50;25.68
2201;809;0;6.1;-1;0;24.72;50;25.21
2202;810;0;6.22;-1;0;25.2;50;25.78
2203;703;0;4.88;-1;0;25.7;50;26.73
2204;703;50;29.66;-1;0;55.16;100;55.24
2205;704;0;5.45;-1;0;24.9;50;26.28
2206;704;50;29.39;-1;0;54.48;100;54.86
2207;705;0;4.88;-1;0;24.38;50;25.75
2208;705;50;28.98;-1;0;53.46;100;53.7
2209;706;0;5.39;-1;0;23.91;50;25.25
2210;706;50;28.94;-1;0;53.13;100;53.32
2211;707;0;4.6;-1;0;24.74;50;25.89
2212;707;50;28.97;-1;0;52.76;100;53.41
2213;708;0;5.34;-1;0;24.58;50;25.75
2214;708;50;28.99;-1;0;53.54;100;53.89
2215;709;0;4.56;-1;0;24.84;50;26.3
2216;709;50;28.74;-1;0;53.5;100;53.84
2217;710;0;4.4;-1;0;25.82;50;27.11
2218;710;50;29.63;-1;0;54.84;100;55.65
2219;788;0;5.23;-1;0;28.12;50;28.21
2220;788;50;33.2;-1;0;61.56;100;61.94
2221;789;0;5.43;-1;0;28.37;50;28.45
2222;789;50;33.3;-1;0;60.28;100;60.62
2223;790;0;6.67;-1;0;27.35;50;28.32
2224;790;50;33.58;-1;0;59.69;100;60.48
